auteur,commentaire,likes,date_publication
@mariegirl8780,"J'adore Arthur 😭 il est trop mimi, et la casquette de tiakola qui change à chaque séquence et SDM qui tape tout le monde quand il ris 🤣",0,2025-07-11T20:50:38Z
@davidmalt1626,"50 ans, 25 ans de métier, donc diplômé en chir. à 25 ans 😂
 Ça choque que moi 😅 ?",0,2025-07-11T19:11:45Z
@Othniel_Lokossou,"Putain, ils sont trop à l'aise ptdrr",0,2025-07-11T15:32:38Z
@la_nezu,Il faudrait trop que il face qui est l'imposteur avc Bigflo et oli nan ? 😂,0,2025-07-11T14:55:00Z
@fvtim.s,"Un feat avec les membres des Jackson ? Evan, Lonny etc..",4,2025-07-11T05:34:20Z
@ChloéMignot-Vernois,"Moi j'ai eu une maladie de la moelle osseuse, qui s'appelle l'aplasie médullaire",0,2025-07-10T20:58:07Z
@Lefauconnoir,Robestiiiiiiiiiiiiiiiiiine,0,2025-07-10T14:55:55Z
@Victoire.Horizon,J'ai fait un sens faute !,0,2025-07-10T10:07:48Z
@cassandrehornisberger1511,Par pitié faites thème majordomes / room service !!!,0,2025-07-10T09:14:18Z
@Lechat_g8hgrk,Ouii moi aussi je suis lilloise ;) trop bien !!!,0,2025-07-09T21:20:21Z
@JL_naka,Tiakola c'est trop une galère en vrai 🤣🤣,0,2025-07-09T13:11:28Z
@LinaSAID-h7w,Big up a tout les Robestine 🤟😂,1,2025-07-08T21:10:47Z
@owen6282,Dans ce concept il faut absolument inviter Fabien Olicard et Charlie Haid,0,2025-07-08T19:32:32Z
@milomariez4837,Junior il ressable pas à berkan?,0,2025-07-08T16:52:08Z
@RosellaLeGuénic,C moi ou tiakola il aime rien 🤣,0,2025-07-08T16:28:17Z
@steevelaforet,plus concentré part la casquette de tiako que sur l'épisode,1,2025-07-07T18:38:32Z
@kilfil06,wallah la vidéo elle flingue ca mère,1,2025-07-07T16:09:54Z
@213tahiadjazair6,Incroyableee lepisode avec sdm et tiakola,0,2025-07-07T11:30:26Z
@AlexBably-v6h,Tiakola et SDM ç les meilleurs 🤣🤣,0,2025-07-06T23:46:23Z
@quenellegaming,"Bon il faut que je le dise sinon je vais être frustré!
A 24:20, lors de l’énoncé pour le second prof de math Frantz!
En fait, l’énoncé comportait une erreur. Il est précisé qu’il « Marche à 5km/h » et la question demande « En courant combien de temps met-il ».
Or, il n’est nullement précisé la vitesse de déplacement en courant.
Je pense que, au vu du résultat supposé par Squeezie (26 minutes), il devait être ajouté à l’énoncé qu’il « se déplaçait 4 fois plus vite en courant » (Puisqu’il a parcouru 8 km en 98 minutes en marchant et il parcourt la même distance en courant en 26 minutes. Puisqu’on a une vitesse en marchant de 5km/h, il suffit de soustraire aux deux résultats les 2 minutes de chaque quartiers et de diviser le temps en marchant par celui en courant pour obtenir 96/24 qui nous donne 4.",2,2025-07-06T22:04:16Z
@gerardrobert5250,"Une idée, ce serait de faire des petits épisodes des participants en train de coacher l'imposteur",0,2025-07-06T19:12:32Z
@ethoxinoZz,la mangueeeuh,0,2025-07-06T18:30:03Z
@ImoenMARBON,"Pour le chirurgien à partir du moment ou il à dit ""Serum physiologique"" il etait MORTTTTTT,",0,2025-07-06T13:26:38Z
@meriemradhi5481,Wow meilleur épisode à ce jour.,0,2025-07-06T09:27:57Z
@mathiasmoison1162,Vraiment le montage sur cette vidéo c’est une dinguerie. J’ai trop rigolé,0,2025-07-05T15:50:50Z
@tornation5609,Les questions posées aux profs de maths étaient vraiment nulles mdr,0,2025-07-05T07:01:28Z
@anthonyverne6198,Je ne comprends pas 17:41,0,2025-07-04T19:52:16Z
@Aorel44,"Enguerrand c'est pas breton c'est allemand, il a raconté que de la d jusqu'au bout",0,2025-07-04T17:23:26Z
